product_id,product_line,product_name,cost,list_price
PROD000034,Pets,Product_34_94AM3,71.63,93.91
PROD000035,Toys,Product_35_WPWHT,442.52,584.58
PROD000036,Music,Product_36_CFA0A,134.26,165.87
PROD000037,Home & Kitchen,Product_37_J9C9Q,102.29,138.09
PROD000038,Electronics,Product_38_OPJO8,126.15,161.36
PROD000039,Home & Kitchen,Product_39_7CG89,69.82,82.15
PROD000040,Toys,Product_40_UZR0E,87.01,115.61
PROD000041,Health & Fitness,Product_41_NQRSV,299.77,374.73
PROD000042,Clothing,Product_42_26GSX,226.89,291.05
PROD000043,Gardening,Product_43_RW7FV,95.37,122.08
PROD000044,Health & Fitness,Product_44_QQ1BW,198.35,253.09
PROD000045,Clothing,Product_45_6I03D,387.17,483.18
PROD000046,Automotive,Product_46_Q679R,189.22,251.3
PROD000047,Home & Kitchen,Product_47_U0LCV,420.3,560.43
PROD000048,Gardening,Product_48_NKNPT,70.23,90.6
PROD000049,Home & Kitchen,Product_49_359WK,472.69,610.53
PROD000050,Grocery,Product_50_N17RJ,172.68,229.03
PROD000051,Gardening,Product_51_ZA7ZM,458.4,590.37
PROD000052,Electronics,Product_52_C1LCI,477.84,645.09
PROD000053,Sneakers,Product_53_70CTN,196.08,254.79
PROD000054,Gardening,Product_54_NB9JI,185.16,249.97
PROD000055,Toys,Product_55_JSL5Y,389.21,494.2
PROD000056,Toys,Product_56_5GHM2,105.04,136.78
PROD000057,Gardening,Product_57_4OLQI,182,229.36
PROD000058,Home & Kitchen,Product_58_0D4DQ,137.08,182.99
PROD000059,Health & Fitness,Product_59_5H6VP,413.8,527.65
PROD000060,Home & Kitchen,Product_60_ITSW4,155.23,201.76
PROD000061,Gardening,Product_61_J9LIG,152.1,205.34
PROD000062,Toys,Product_62_IBNMX,289.11,372.28
PROD000063,Snacks & Chocolates,Product_63_PA9MP,478.75,621.96
PROD000064,Home & Kitchen,Product_64_KW5WJ,482.8,633.56
PROD000065,Clothing,Product_65_AAG86,437.23,543.17
PROD000066,Toys,Product_66_26PNG,189.06,248.63
PROD000067,Toys,Product_67_NDZDJ,450.78,593.41
PROD000068,Toys,Product_68_ENV1C,209.56,272.35
PROD000069,Pets,Product_69_GG9KV,236.4,315.67
PROD000070,Cosmetics,Product_70_EE79M,328.3,408.59
PROD000071,Home & Kitchen,Product_71_7UDOK,303.17,384.43
PROD000072,Toys,Product_72_JBPQ8,408.6,512.6
PROD000073,Toys,Product_73_GSFKI,128.72,166.79
PROD000074,Automotive,Product_74_DA6SF,229.39,301.42
PROD000075,Gardening,Product_75_9OU92,76.91,96.62
PROD000076,Cosmetics,Product_76_FAWA0,326.86,441.26
PROD000077,Automotive,Product_77_4JE13,213.25,270.26
PROD000078,Health & Fitness,Product_78_XJY4R,449.4,595.39
PROD000079,Sneakers,Product_79_8H61R,340.82,423.25
PROD000080,Home & Kitchen,Product_80_6ANC4,373.09,486.76
PROD000081,Home & Kitchen,Product_81_L62MB,453.3,611.96
PROD000082,Toys,Product_82_99L8Q,244.01,319.7
PROD000083,Clothing,Product_83_2XSPU,456.9,597.07
PROD000084,Automotive,Product_84_VJOA7,67.72,91.25
PROD000085,Music,Product_85_JQFV0,346.03,455.24
PROD000086,Electronics,Product_86_53IYU,347.8,446.95
PROD000087,Health & Fitness,Product_87_9W16X,421.23,554.32
PROD000088,Toys,Product_88_BA60Q,306.28,387.23
PROD000089,Electronics,Product_89_ILK0U,283.63,346.04
PROD000090,Home & Kitchen,Product_90_VHSCN,160.64,206.61
PROD000091,Clothing,Product_91_3UAAB,384,490.3
PROD000092,Home & Kitchen,Product_92_Q78VQ,81.45,109.96
PROD000093,Office Supplies,Product_93_K5YYX,268.35,354.38
PROD000094,Gardening,Product_94_18T0K,368.51,495.31
PROD000095,Toys,Product_95_SGL13,441.17,563.72
PROD000096,Jewelry,Product_96_SEUW2,278.22,375.6
PROD000097,Gardening,Product_97_KJ7VZ,293.09,383.35
PROD000098,Home & Kitchen,Product_98_1YKMW,172.91,226.05
PROD000099,Pets,Product_99_IFP3B,58.86,75.38
PROD000100,Automotive,Product_100_TU31G,481.85,647.53
PROD000101,Gardening,Product_101_SB8NW,474.47,608.11
PROD000102,Travel,Product_102_BE2RR,337.67,425.9
PROD000103,Clothing,Product_103_86ERO,269.65,344.22
PROD000104,Home & Kitchen,Product_104_ASSH9,303.29,398.71
PROD000105,Electronics,Product_105_MGMWR,438.38,555.41
PROD000106,Health & Fitness,Product_106_KHFKI,248.34,335.26
PROD000107,Gardening,Product_107_6HSH2,258.25,348.64
PROD000108,Gardening,Product_108_LXBRT,244.85,330.55
PROD000109,Sneakers,Product_109_QPC6G,177.45,224.58
PROD000110,Automotive,Product_110_JX0DF,204.76,256.28
PROD000111,Health & Fitness,Product_111_HFMPF,442.25,557.85
PROD000112,Electronics,Product_112_ZS85P,223.04,271.91
PROD000113,Home & Kitchen,Product_113_HAWLC,97.62,127.07
PROD000114,Snacks & Chocolates,Product_114_X5AOX,491.18,633.81
PROD000115,Office Supplies,Product_115_3SROP,206.39,277.04
PROD000116,Toys,Product_116_OSL6L,84.27,107.42
PROD000117,Automotive,Product_117_9WNWQ,64.28,85.81
PROD000118,Toys,Product_118_UVLI1,249.58,304.55
PROD000119,Health & Fitness,Product_119_FAAER,418.39,562.71
PROD000120,Grocery,Product_120_4E8Z8,430.4,541.91
PROD000121,Office Supplies,Product_121_B11AO,271.74,338.62
PROD000122,Electronics,Product_122_GQRAR,229.27,293.17
PROD000123,Cosmetics,Product_123_YREXL,125.21,169.04
PROD000124,Clothing,Product_124_1NJL9,418.38,542.98
PROD000125,Clothing,Product_125_DE36O,236.73,310.31
PROD000126,Home & Kitchen,Product_126_ERXUX,129.82,175.25
PROD000127,Toys,Product_127_Q6JGD,149.14,192.58
PROD000128,Cosmetics,Product_128_VZ439,217.69,293.89
PROD000129,Home & Kitchen,Product_129_VMJBB,211.18,267.51
PROD000130,Clothing,Product_130_UNZXO,410.85,547.8
PROD000131,Music,Product_131_FBG4T,81.32,100.17
PROD000132,Electronics,Product_132_WZJKN,286.85,367.18
PROD000133,Home & Kitchen,Product_133_LIS4Z,165.65,216.19
PROD000134,Cosmetics,Product_134_JK0U5,467.2,599.78
PROD000135,Grocery,Product_135_X2W1S,369.8,445.47
PROD000136,Electronics,Product_136_1LA1U,53.2,69.65
PROD000137,Toys,Product_137_IG7WP,169.51,224.64
PROD000138,Toys,Product_138_QOGN8,491.74,645.61
PROD000139,Electronics,Product_139_0SNIH,120.18,160.63
PROD000140,Toys,Product_140_7U2ED,196.95,246.72
PROD000141,Health & Fitness,Product_141_2KPMF,163.4,201
PROD000142,Toys,Product_142_5WLUO,190.07,256.59
PROD000143,Toys,Product_143_XP9CJ,85.86,108.18
PROD000144,Automotive,Product_144_Y4FUU,300.42,385.18
PROD000145,Home & Kitchen,Product_145_8NCD1,254.93,344.16
PROD000146,Gardening,Product_146_1U31B,465.47,608.48
PROD000147,Toys,Product_147_WFME7,279.76,377.14
PROD000148,Home & Kitchen,Product_148_A2ZU9,284.96,356.99
PROD000149,Home & Kitchen,Product_149_UIUGG,288.5,355.5
PROD000150,Toys,Product_150_SMM17,346.48,432.17
PROD000151,Toys,Product_151_5ECNH,400.36,534.82
PROD000152,Sneakers,Product_152_LT44L,496.26,639.96
PROD000153,Automotive,Product_153_THK9X,232.17,313.42
PROD000154,Electronics,Product_154_RFGHL,130.54,174.19
PROD000155,Toys,Product_155_8PUV1,57.59,72.2
PROD000156,Home & Kitchen,Product_156_WWLJD,97.98,125.48
PROD000157,Toys,Product_157_IDOSQ,138.96,173.21
PROD000158,Health & Fitness,Product_158_OZ8L1,417.87,559.01
PROD000159,Office Supplies,Product_159_K0MAS,428.52,572.94
PROD000160,Home & Kitchen,Product_160_UWHQB,286.67,387.01
PROD000161,Gaming,Product_161_0N47U,261.77,337.34
PROD000162,Home & Kitchen,Product_162_N1YHT,405.27,508.4
PROD000163,Music,Product_163_DIPWI,243.26,324.7
PROD000164,Jewelry,Product_164_VO3JH,420.72,526.7
PROD000165,Electronics,Product_165_5PI49,144.14,182.26
PROD000166,Toys,Product_166_0QO21,453.71,594.88
PROD000167,Gardening,Product_167_40HH1,299.3,397.55
PROD000168,Automotive,Product_168_7CJYG,424.04,571.37
PROD000169,Automotive,Product_169_92EC0,426.14,575.29
PROD000170,Electronics,Product_170_V1TET,464.84,627.54
PROD000171,Home & Kitchen,Product_171_WT1X9,468.44,632.39
PROD000172,Travel,Product_172_AYBHC,309.48,410.36
PROD000173,Travel,Product_173_Y0S0J,180.24,221.74
PROD000174,Toys,Product_174_9HQLT,470.96,627.64
PROD000175,Gaming,Product_175_VJL95,73.76,93.23
PROD000176,Health & Fitness,Product_176_HCGUS,412,542.89
PROD000177,Toys,Product_177_BNE3C,406.03,509.31
PROD000178,Travel,Product_178_HIVKQ,147.81,196.52
PROD000179,Pets,Product_179_MLLPZ,98.28,129.41
PROD000180,Gardening,Product_180_NGMEL,311.92,421.09
PROD000181,Toys,Product_181_HNAFX,483.35,638.38
PROD000182,Home & Kitchen,Product_182_XDWNR,77.12,102.76
PROD000183,Home & Kitchen,Product_183_W1RB6,98.48,132.75
PROD000184,Travel,Product_184_JY8AP,62.98,79.89
PROD000185,Toys,Product_185_MIMO0,459.84,611.42
PROD000186,Sneakers,Product_186_PIVCP,401.09,516.89
PROD000187,Home & Kitchen,Product_187_OWGB6,71.59,94.19
PROD000188,Toys,Product_188_IQ1ZF,393.43,527.89
PROD000189,Sneakers,Product_189_T8OLF,54.68,67.11
PROD000190,Home & Kitchen,Product_190_PN2K2,499.45,622.22
PROD000191,Automotive,Product_191_6EM8R,351.94,445.92
PROD000192,Toys,Product_192_18TQZ,319.4,403.56
PROD000193,Toys,Product_193_JB63U,338.77,437.65
PROD000194,Electronics,Product_194_6XXCB,491.64,624.86
PROD000195,Toys,Product_195_M2VXT,247.76,332.85
PROD000196,Electronics,Product_196_JSP3Q,283.81,355.04
PROD000197,Toys,Product_197_ZZDHJ,471.52,581.83
PROD000198,Toys,Product_198_72GGG,123.26,163.46
PROD000199,Toys,Product_199_J0EK8,117.21,158.23
PROD000200,Gardening,Product_200_1R5M2,387.96,523.74
PROD000201,Toys,Product_201_HB3LL,151.66,197.29
PROD000202,Automotive,Product_202_H9M90,463.18,596.63
PROD000203,Home & Kitchen,Product_203_0FYC5,295.42,371.89
PROD000204,Health & Fitness,Product_204_VHOHJ,109.44,135.93
PROD000205,Electronics,Product_205_FT9ND,262.95,326.29
PROD000206,Electronics,Product_206_4HAEJ,357.33,441.73
PROD000207,Grocery,Product_207_3XB9M,390.56,507.84
PROD000208,Health & Fitness,Product_208_O6YCO,302.19,391.23
PROD000209,Pets,Product_209_VLJ8X,371.03,500.9
PROD000210,Toys,Product_210_OL7S5,295.48,378.71
PROD000211,Gardening,Product_211_C3VPW,397.71,536.91
PROD000212,Cosmetics,Product_212_YZ5UC,249.03,336.2
PROD000213,Toys,Product_213_YU6HB,219.73,277.07
PROD000214,Cosmetics,Product_214_EMXWJ,397.39,520.71
PROD000215,Electronics,Product_215_7KV1T,59.09,76.6
PROD000216,Toys,Product_216_GQYE8,327.45,441.43
PROD000217,Clothing,Product_217_SIYHJ,174.13,213.44
PROD000218,Sneakers,Product_218_ZLZEM,72.76,89.36
PROD000219,Toys,Product_219_YIZ6X,282.64,363.6
PROD000220,Home & Kitchen,Product_220_9R1F0,475.93,632.46
PROD000221,Office Supplies,Product_221_9WDOQ,114.52,137.07
PROD000222,Office Supplies,Product_222_FSJJL,311.34,420.31
PROD000223,Music,Product_223_I7FLT,272.7,350.01
PROD000224,Health & Fitness,Product_224_EPXRV,219.33,270.21
PROD000225,Sneakers,Product_225_F06JD,325.24,405.81
PROD000226,Office Supplies,Product_226_HWX4G,308.86,409.17
PROD000227,Health & Fitness,Product_227_7RBYJ,171.12,217.27
PROD000228,Office Supplies,Product_228_4408I,59.22,78.63
PROD000229,Office Supplies,Product_229_HSCRA,139.79,181.73
PROD000230,Gardening,Product_230_DPKOD,145.5,196.43
PROD000231,Clothing,Product_231_DL3HW,469.13,591.77
PROD000232,Health & Fitness,Product_232_71PG7,198.19,266.24
PROD000233,Gardening,Product_233_7LJ8E,423.03,556.86
PROD000234,Clothing,Product_234_GYIR6,460.24,566.45
PROD000235,Home & Kitchen,Product_235_K2MD9,91.5,115.83
PROD000236,Automotive,Product_236_EE7HY,496.68,644.1
PROD000237,Office Supplies,Product_237_1QLVK,292.82,390.63
PROD000238,Toys,Product_238_M51E0,402.27,543.07
PROD000239,Automotive,Product_239_LEUN8,121.12,157.31
PROD000240,Home & Kitchen,Product_240_FUVZX,96.64,117.34
PROD000241,Toys,Product_241_LDE98,249.37,302.76
PROD000242,Grocery,Product_242_58W3D,244.66,310.62
PROD000243,Home & Kitchen,Product_243_0JEGS,482.43,649.71
PROD000244,Automotive,Product_244_ZA0UN,384.55,501.51
PROD000245,Jewelry,Product_245_DMGQG,392.4,501.79
PROD000246,Toys,Product_246_HAPS3,76.56,103.32
PROD000247,Toys,Product_247_0JWZU,290.36,391.19
PROD000248,Toys,Product_248_MX1ZK,55.42,71.59
PROD000249,Health & Fitness,Product_249_6388W,416.55,543.95
PROD000250,Clothing,Product_250_4YWVG,473.18,599.19
PROD000251,Gardening,Product_251_0KU6T,394.97,533.21
PROD000252,Gardening,Product_252_PF4EO,351.14,474.03
PROD000253,Gardening,Product_253_E1L4C,415.15,537.2
PROD000254,Music,Product_254_7VU8X,155.18,197.88
PROD000255,Automotive,Product_255_54LGO,169.58,223.95
PROD000256,Cosmetics,Product_256_K66K7,272.9,361.28
PROD000257,Gardening,Product_257_KHLHF,311.37,412.4
PROD000258,Toys,Product_258_PGS65,72.58,92.43
PROD000259,Toys,Product_259_2NRWF,267.17,359.65
PROD000260,Gardening,Product_260_3FMMF,336.61,427.74
PROD000261,Pets,Product_261_MH1F0,425.52,549.36
PROD000262,Gaming,Product_262_TD2US,105.51,132.77
PROD000263,Health & Fitness,Product_263_EX6MW,459.85,620.8
PROD000264,Home & Kitchen,Product_264_IIZ4E,417.19,523.42
PROD000265,Toys,Product_265_2C19A,491.55,620.89
PROD000266,Home & Kitchen,Product_266_4PJBN,193.74,261.55
PROD000267,Cosmetics,Product_267_FQ1W7,59.19,79.9
PROD000268,Automotive,Product_268_362YY,118.09,155.61
PROD000269,Clothing,Product_269_543N6,447.73,553.15
PROD000270,Toys,Product_270_MRBTM,280.41,365.89
PROD000271,Home & Kitchen,Product_271_DYT75,321.78,396.31
PROD000272,Home & Kitchen,Product_272_8DWDA,249.94,334.93
PROD000273,Gardening,Product_273_25FNG,365.07,467.83
PROD000274,Health & Fitness,Product_274_3EBK4,330.19,415.07
PROD000275,Home & Kitchen,Product_275_GP2D7,297.82,391.7
PROD000276,Automotive,Product_276_MSOLC,148.23,200.11
PROD000277,Toys,Product_277_B3HEJ,152.02,205.23
PROD000278,Electronics,Product_278_T2Q0M,83.58,104.98
PROD000279,Toys,Product_279_OULMK,89.76,116.01
PROD000280,Home & Kitchen,Product_280_Y1QGJ,182.13,219.34
PROD000281,Home & Kitchen,Product_281_SD2CY,192.12,259.36
PROD000282,Automotive,Product_282_L0FAE,141.38,180.92
PROD000283,Automotive,Product_283_R7I9N,364.12,448.92
PROD000284,Toys,Product_284_0FWWV,460.54,610.24
PROD000285,Toys,Product_285_HC4JH,112.65,151.65
PROD000286,Grocery,Product_286_X1RAE,160.17,203.82
PROD000287,Automotive,Product_287_W8KRJ,189.88,240.03
PROD000288,Toys,Product_288_H8VS4,222.02,283.96
PROD000289,Gardening,Product_289_OPW8K,160.87,209.68
PROD000290,Clothing,Product_290_LA44Z,282.94,370.06
PROD000291,Health & Fitness,Product_291_178HD,241.56,314.44
PROD000292,Home & Kitchen,Product_292_7R7KT,82.39,111.23
PROD000293,Sneakers,Product_293_C8MXX,481.9,612.67
PROD000294,Office Supplies,Product_294_A5I2R,488.33,592.47
PROD000295,Gardening,Product_295_XO9YO,471.15,594.48
PROD000296,Toys,Product_296_HOFC4,224.73,283.22
PROD000297,Health & Fitness,Product_297_6UBBW,121.43,163.94
PROD000298,Home & Kitchen,Product_298_64IO7,172.86,233.35
PROD000299,Home & Kitchen,Product_299_1PL2P,472.43,617.96
PROD000300,Electronics,Product_300_CPY4C,478.91,645.99
PROD000301,Automotive,Product_301_H07GT,395.23,521.78
PROD000302,Toys,Product_302_H9WU5,249.14,336.34
PROD000303,Toys,Product_303_OK4V4,492.93,665.45
PROD000304,Clothing,Product_304_G9TNV,142.39,186.27
PROD000305,Office Supplies,Product_305_2260O,287.3,365.35
PROD000306,Toys,Product_306_EOJ67,227.01,287.03
PROD000307,Automotive,Product_307_ZHN4T,477.85,639.99
PROD000308,Toys,Product_308_T4F52,149.9,198.01
PROD000309,Health & Fitness,Product_309_HFBYV,241.39,325.87
PROD000310,Electronics,Product_310_7VQH9,160.07,213.11
PROD000311,Health & Fitness,Product_311_AJ830,347.93,461.63
PROD000312,Toys,Product_312_HK4HB,85.51,104.75
PROD000313,Sneakers,Product_313_B54FB,378.42,496.96
PROD000314,Home & Kitchen,Product_314_LJZJ2,348.77,470.85
PROD000315,Home & Kitchen,Product_315_88NF2,378.41,491.75
PROD000316,Home & Kitchen,Product_316_ZQZ4I,320.39,399.05
PROD000317,Gardening,Product_317_MEXAE,140.04,175.84
PROD000318,Toys,Product_318_TRLED,152.15,198.54
PROD000319,Cosmetics,Product_319_X9P8T,331.33,447.29
PROD000320,Home & Kitchen,Product_320_5UZQW,306.25,391.05
PROD000321,Cosmetics,Product_321_PVFO0,278.29,332.41
PROD000322,Cosmetics,Product_322_7SM0E,492.71,643.75
PROD000323,Home & Kitchen,Product_323_QHYEZ,264.4,346.39
PROD000324,Health & Fitness,Product_324_HCF76,158.43,204.73
PROD000325,Health & Fitness,Product_325_FWXEE,151.83,202.06
PROD000326,Toys,Product_326_39O3G,352.82,435.86
PROD000327,Toys,Product_327_I88SD,215.76,280.14
PROD000328,Home & Kitchen,Product_328_15FB0,294.16,376.08
PROD000329,Health & Fitness,Product_329_UT2DR,113.87,136.82
PROD000330,Toys,Product_330_LNXLW,175.09,233.33
PROD000331,Cosmetics,Product_331_1AVGS,131.18,172.85
PROD000332,Gardening,Product_332_YQRUI,68.56,86.77
PROD000333,Toys,Product_333_B6SPT,328.66,436.57
PROD000334,Home & Kitchen,Product_334_0F67Q,491.72,623.02
PROD000335,Home & Kitchen,Product_335_KPQQY,181.34,231
PROD000336,Toys,Product_336_3H75V,85.37,111.01
PROD000337,Home & Kitchen,Product_337_H65PP,380.12,513.17
PROD000338,Toys,Product_338_IXSB7,389.24,497.95
PROD000339,Office Supplies,Product_339_D4HCS,371.27,501.21
PROD000340,Toys,Product_340_E2UCV,203.93,272.73
PROD000341,Health & Fitness,Product_341_COG5T,332.99,432.06
PROD000342,Toys,Product_342_C7WBZ,457.1,617.08
PROD000343,Cosmetics,Product_343_W1M6D,115.92,155
PROD000344,Automotive,Product_344_9Y3OJ,376.28,498.31
PROD000345,Office Supplies,Product_345_HV2AH,357.35,451.03
PROD000346,Health & Fitness,Product_346_K4DMD,349.85,442.49
PROD000347,Office Supplies,Product_347_U0OPY,133.81,169.45
PROD000348,Travel,Product_348_K1WSH,223.98,290.08
PROD000349,Electronics,Product_349_QWBP6,185.1,249.89
PROD000350,Home & Kitchen,Product_350_UDY4J,302.56,393.51
PROD000351,Home & Kitchen,Product_351_EUB5F,477.17,636.18
PROD000352,Sneakers,Product_352_TWBCX,97.87,128.95
PROD000353,Home & Kitchen,Product_353_HL00X,430.99,562.84
PROD000354,Toys,Product_354_MTRTP,435.04,587.3
PROD000355,Home & Kitchen,Product_355_TX1JV,172.17,219.03
PROD000356,Clothing,Product_356_8WMW1,94.58,127.68
PROD000357,Gardening,Product_357_SZSPB,389.99,494.62
PROD000358,Sneakers,Product_358_VNK6E,102.72,136.38
PROD000359,Gardening,Product_359_MSR6Q,171.27,208.6
PROD000360,Clothing,Product_360_US1HQ,50.03,64.18
PROD000361,Home & Kitchen,Product_361_M0CW8,449.9,527.75
PROD000362,Toys,Product_362_2KV9B,143.72,194.02
PROD000363,Toys,Product_363_YYBHD,323.32,379.99
PROD000364,Jewelry,Product_364_KWPCL,157.15,194.52
PROD000365,Toys,Product_365_LAHVD,80.11,104.69
PROD000366,Gardening,Product_366_AOASS,192.3,256.63
PROD000367,Clothing,Product_367_5RMKN,204.23,254.52
PROD000368,Home & Kitchen,Product_368_FVQ6L,203.96,267.34
PROD000369,Toys,Product_369_6HD6O,354.34,442.09
PROD000370,Gardening,Product_370_V0IWN,174.23,231.22
PROD000371,Grocery,Product_371_OKYMF,278.87,376.48
PROD000372,Health & Fitness,Product_372_I2V54,394.87,521.23
PROD000373,Health & Fitness,Product_373_VBHMS,271.85,350.06
PROD000374,Gardening,Product_374_98O2G,197.84,257.7
PROD000375,Gaming,Product_375_NJUAT,92.96,123.23
PROD000376,Office Supplies,Product_376_PYDYS,440.02,594.03
PROD000377,Gardening,Product_377_SI937,322.06,420.87
PROD000378,Health & Fitness,Product_378_P1E7Q,392.96,530.5
PROD000379,Toys,Product_379_DQI04,235.23,292.21
PROD000380,Toys,Product_380_OKS89,444.49,600.07
PROD000381,Home & Kitchen,Product_381_VRQ6Y,405.95,522.42
PROD000382,Travel,Product_382_GXNRE,224.96,295.09
PROD000383,Automotive,Product_383_ONM5Q,312.93,410.68
PROD000384,Gardening,Product_384_XLE6U,378.63,479.81
PROD000385,Toys,Product_385_IJ0TP,95.49,127.19
PROD000386,Travel,Product_386_M8LAW,399.6,539.47
PROD000387,Health & Fitness,Product_387_PK04E,298.21,402.58
PROD000388,Sneakers,Product_388_UNOC1,222.42,290.72
PROD000389,Travel,Product_389_M1T2W,194.13,249.42
PROD000390,Home & Kitchen,Product_390_2U7G1,369.82,480.86
PROD000391,Toys,Product_391_6F995,286.85,373.27
PROD000392,Office Supplies,Product_392_V0RPI,345.72,462.41
PROD000393,Office Supplies,Product_393_XVK61,498.98,668.75
PROD000394,Automotive,Product_394_F0X8R,409,552.15
PROD000395,Toys,Product_395_VHC69,219.22,281.07
PROD000396,Health & Fitness,Product_396_Q46CX,64.53,85.46
PROD000397,Clothing,Product_397_H5ZY6,200.88,260.7
PROD000398,Snacks & Chocolates,Product_398_U98FS,454.61,588.69
PROD000399,Toys,Product_399_U4FC7,178.81,232.43
PROD000400,Toys,Product_400_VZUVZ,175.09,234.16
PROD000401,Gardening,Product_401_GEPLE,345.93,439.94
PROD000402,Gardening,Product_402_JUSAL,401.88,532.56
PROD000403,Home & Kitchen,Product_403_JLDZ6,89.89,119.34
PROD000404,Cosmetics,Product_404_5SDA7,66.18,85.26
PROD000405,Home & Kitchen,Product_405_88J3M,275.19,350.77
PROD000406,Automotive,Product_406_TP5EH,184.45,249.01
PROD000407,Health & Fitness,Product_407_4H1UY,268.59,320.93
PROD000408,Pets,Product_408_PEWFO,342.22,426.68
PROD000409,Health & Fitness,Product_409_0CM2D,353.05,448.78
PROD000410,Home & Kitchen,Product_410_M2Q1Y,367.01,478.44
PROD000411,Home & Kitchen,Product_411_ZIK3Q,359.37,468.33
PROD000412,Toys,Product_412_YTS7T,210,266.97
PROD000413,Toys,Product_413_959JH,115.38,153.88
PROD000414,Home & Kitchen,Product_414_Q8AK1,167.84,223.17
PROD000415,Home & Kitchen,Product_415_EAVQW,252.07,319.4
PROD000416,Toys,Product_416_QZBX2,377.72,499.55
PROD000417,Home & Kitchen,Product_417_9S702,212.76,267.2
PROD000418,Gardening,Product_418_K3SBX,361.36,457.35
PROD000419,Toys,Product_419_FU7HK,378.48,506.27
PROD000420,Home & Kitchen,Product_420_N4DTA,105.29,135.56
PROD000421,Home & Kitchen,Product_421_QA3ZG,126.36,161.57
PROD000422,Grocery,Product_422_O0HEO,456.68,572.82
PROD000423,Health & Fitness,Product_423_62L6O,138.03,167.28
PROD000424,Health & Fitness,Product_424_ZW79J,247.02,330.66
PROD000425,Gardening,Product_425_XKQG0,279.7,373.08
PROD000426,Office Supplies,Product_426_L3T7P,68.88,88.93
PROD000427,Grocery,Product_427_YWOJ7,393.24,523.59
PROD000428,Toys,Product_428_0EDVW,84,113.4
PROD000429,Health & Fitness,Product_429_CHVYD,329.55,433.35
PROD000430,Home & Kitchen,Product_430_HVIM8,99.46,131.18
PROD000431,Gardening,Product_431_OST8U,429.38,553.11
PROD000432,Automotive,Product_432_093II,331.94,419.41
PROD000433,Health & Fitness,Product_433_4JFUY,109.28,135.73
PROD000434,Travel,Product_434_0WLGT,434.89,535.17
PROD000435,Home & Kitchen,Product_435_MVVZZ,70.23,90.27
PROD000436,Cosmetics,Product_436_S4C76,460.89,622.2
PROD000437,Sneakers,Product_437_SSFHW,440.6,541.18
PROD000438,Cosmetics,Product_438_G4ZSR,456.09,603.17
PROD000439,Home & Kitchen,Product_439_CKY5B,190.21,252.48
PROD000440,Home & Kitchen,Product_440_KOHN6,335.34,432.8
PROD000441,Home & Kitchen,Product_441_WL2UO,240.88,322.72
PROD000442,Toys,Product_442_0K0AD,210.17,283.73
PROD000443,Toys,Product_443_713TJ,406.73,483.41
PROD000444,Toys,Product_444_5RPN7,153.97,207.85
PROD000445,Office Supplies,Product_445_LE8EV,486.31,656.52
PROD000446,Health & Fitness,Product_446_ZU5CF,387.72,482.96
PROD000447,Clothing,Product_447_XGG50,128.17,170.31
PROD000448,Gardening,Product_448_ZQY43,299.09,389.5
PROD000449,Electronics,Product_449_M50UP,135.03,170.62
PROD000450,Office Supplies,Product_450_Y9CVM,178.25,235.86
PROD000451,Sneakers,Product_451_NZF7D,120.01,155.06
